cuvant,definitie,parte_de_vorbire,frecventa
sursă,"Loc unde se produce, unde se poate găsi, de unde se propagă ceva sau de unde începe ceva.",substantiv,5970
metal,"Nume generic dat oricărui element chimic cu luciu caracteristic, bun conducător de căldură și de electricitate, maleabil și ductil, de obicei solid la temperatura obișnuită",substantiv,5961
top,"Pachet de hârtie sau de carton (cuprinzând un anumit număr de coli, în general 500).",substantiv,5945
pipi,Eufemism pentru urinare,substantiv,5945
cădea,"A se deplasa de sus în jos datorită greutății, a se lăsa în jos",verb,5940
privată,Closet rudimentar,substantiv,5939
căutare,Acțiunea de a căuta,substantiv,5937
maxim,"(mat.) valoare a unei funcții într-un punct, mai mare decât valoarea acesteia în punctele vecine",substantiv,5922
pagina,"A numerota paginile sau foile unui caiet, ale unei cărți, ale unui manuscris etc.",verb,5922
pistă,evidență care indică o posibilă soluție,substantiv,5894
limita,"A (se) stabili, a (se) fixa limitele unui lucru",verb,5884
demon,"Ființă imaginară de sex masculin, considerată drept întruchipare a spiritului rău",substantiv,5876
produce,"A realiza produse noi, valori științifice sau artistice noi.",verb,5873
albi,A deveni sau a face să devină (mai) alb.,verb,5872
jefuit,"Distrus, ruinat, pustiit.",adjectiv,5866
mașină,Totalitatea pieselor și angrenajelor care alcătuiesc mecanismul unei mașini sau al unui grup de mașini;,substantiv,5852
preajmă,"Spațiu care înconjoară pe cineva sau ceva, loc sau regiune din apropierea sau din vecinătatea cuiva",substantiv,5847
carieră,Exploatare minieră de unde se extrage piatră pentru construcții,substantiv,5838
lider,"Conducător al unui partid, al unei organizații sindicale etc",substantiv,5825
proaspăt,(Prin extensiune) care n-a fost supus unui procedeu de conservare,adjectiv,5822
ghinion,întâmplare nefavorabilă,substantiv,5819
panică,"Emoție puternică și violentă provocată de un lucru înfiorător, de un pericol mare, de o nenorocire etc.",substantiv,5818
strica,"A (se) despărți, a (se) separa de cineva sau de ceva",verb,5816
argint,"Metal prețios de culoare albă strălucitoare, maleabil și ductil, cu o mare conductibilitate electrică",substantiv,5810
mister,"Lucru greu de înțeles, nelămurit, ascuns",substantiv,5806
elibera,"A da libertate, a pune în stare de libertate",verb,5798
rob,"(În evul mediu) Țăran legat de pământul moșierului, depinzând cu persoana și cu bunurile sale de acesta",substantiv,5794
coleg,"Persoană care învață, activează, muncește împreună cu altele într-un anumit loc, considerată în raport cu acestea",substantiv,5790
sprijin,"Ceea ce servește să susțină, să sprijine, să prindă ceva (ca să nu cadă)",substantiv,5777
superb,"Strălucitor, măreț",adjectiv,5772
supăra,A provoca o neplăcere cuiva,verb,5770
învins,(la pl.) mulțimea celor învinși într-o luptă,substantiv,5770
memorie,"Proces psihic care constă în întipărirea, recunoașterea și reproducerea senzațiilor, sentimentelor, mișcărilor, cunoștințelor etc. din trecut",substantiv,5764
vampir,Persoană din mitologia populară despre care se crede că suge sângele celor vii.,substantiv,5760
comis,"Mare dregător în Moldova și țara Românească, în evul mediu, care avea în sarcina sa caii și grajdurile curții domnești, precum și aprovizionarea cu furaje",substantiv,5753
urs,"Mamifer omnivor cu trupul masiv, acoperit de o blană brună-negricioasă sau roșcată, cu botul ascuțit și cu coada scurtă",substantiv,5749
piscină,Bazin de înot,substantiv,5745
subsol,Partea de pământ aflată sub suprafața solului,substantiv,5737
regină,"Femeie care deține prerogativele unui rege, fiind suverana unui regat.",substantiv,5733
deget,"Veche unitate de măsură pentru lungimi, având aproximativ lățimea unui deget.",substantiv,5731
whisky,Băutură cu un mare procent de alcool obținută prin distilarea cerealelor în condiții speciale,substantiv,5723
fizică,știință care studiază natura anorganică,substantiv,5715
grădină,"Suprafață de teren arabil, de obicei îngrădită, pe care se cultivă legume, flori sau pomi fructiferi, în vederea obținerii unor produse.",substantiv,5702
zăpadă,"precipitație atmosferică solidă sub formă de fulgi albi, alcătuiți din cristale de apă înghețată",substantiv,5688
concurs,Întrecere (sportivă) care se termină întotdeauna cu un clasament și cu acordarea unor premii celor mai buni dintre participanți. se selectează un câstigător.,substantiv,5686
delicios,Care este extrem de plăcut la gust,adjectiv,5681
profit,"Câștig, profit sau folos pe care-l are cineva din ceva",substantiv,5680
iubită,Persoană feminină care este în relații de dragoste cu o persoană se sex opus,substantiv,5680
seamă,responsabilitatea unui paznic sau a unui supraveghetor,substantiv,5663
invers,în direcții opuse,adjectiv,5650
color,"(Despre filme, fotografii etc.) Tehnicolor.;",adjectiv,5645
meritat,Așa cum merita,adverb,5635
student,Persoană care urmează cursurile unei universități sau ale unui institut de învățământ superior.,substantiv,5625
actor,"Artist care interpretează roluri în piese de teatru, în filme etc.;",substantiv,5601
ulei,"Lichid gras de proveniență vegetală, animală, minerală sau sintetică, insolubil în apă și mai ușor decât ea, folosit în alimentație, în industrie etc.",substantiv,5596
mormânt,""" Cine sapă groapa altuia """,substantiv,5593
anumit,Expus în mod amănunțit,adjectiv,5592
senator,membru al unui senat,substantiv,5585
oglindă,"Obiect cu o suprafață netedă și lucioasă, care are proprietatea de a reflecte razele de lumină și de a forma astfel, pe partea lucioasă, imaginea obiectelor",substantiv,5577
junior,"(Sportiv) care are vârstăîntre circa 13 și 19 ani, limitele de vârstă variind de la o specialitate sportivă la alta.",substantiv,5569
nepotrivit,"Care nu este corespunzător, adecvat cu...",substantiv,5559
logică,principiile care ordonează modul de a gândi într-un anumit domeniu sau într-o situație,substantiv,5548
refuza,"A nu accepta, a nu primi ceva ce este oferit.",verb,5543
ieși,"A părăsi un loc, o încăpere, un spațiu închis, limitat, plecând afară; a trece din interior în exterior.",verb,5542
adresă,"Indicație (pe scrisori, pe colete etc.) cuprinzând numele și domiciliul destinatarului",substantiv,5540
cântat,Acțiunea de a cânta,substantiv,5523
vorbe,Cuvintele unei compoziții muzicale.,substantiv,5519
federal,"Care aparține unei federații (de state), privitor la o federație (de state)",adjectiv,5515
incident,Întâmplare neașteptată (și neplăcută) care apare în desfășurarea unei acțiuni.,substantiv,5509
opera,A realiza prin comenzi un anumit regim de funcționare a unui sistem tehnic,verb,5505
fabrica,a crea un întreg din componente sau părți,verb,5502
benzină,"Lichid incolor, ușor inflamabil, cu miros caracteristic, produs petrolier sau de sinteză, folosit mai ales drept combustibil la motoarele cu explozie",substantiv,5493
avantaj,"Expresie : În (sau spre, pentru) folosul cuiva; în interesul, în avantajul, spre binele cuiva",substantiv,5493
avans,"Plată anticipată a unei părți dintr-o sumă curentă datorată ca retribuție sau salariu, ca acoperire a unei lucrări efectuate, în contul unor zile-muncă, la încheierea unui contract etc",substantiv,5490
original,"(Despre acte, documente, opere artistice și literare, fotografii etc.) întâiul exemplar, care a servit sau poate servi drept bază pentru copii, reproduceri sau multiplicări",substantiv,5485
cec,"document nominal sau la purtător, prin care posesorul unui cont curent sau de decontare ori altă persoană împuternicită, dispune plata unei sume de bani din disponibilul aflat în contul titularului",substantiv,5484
proprietate,Stăpânire deplină asupra unui bun,substantiv,5484
tehnic,în ceea ce privește tehnica,adverb,5475
sincronizare,"ajustare care face ca două sau mai multe acțiuni, fapte sau evenimente, fenomene etc. să se petreacă în același timp",substantiv,5467
sparge,"A (se) preface în bucăți, în cioburi.",verb,5466
stomac,"Parte a aparatului digestiv, la om și la animalele superioare, în formă de pungă, situată între esofag și duoden, în care se face digestia alimentelor",substantiv,5464
punte,"1. Pod îngust (format adesea dintr-o scândură sau dintr-o bârnă) așezat peste un șanț, peste o râpă sau peste o apă, care pare fi trecut numai cu piciorul.;",substantiv,5447
concert,Executarea în public a unor opere muzicale.,substantiv,5439
sări,"(Despre ființe) A se desprinde de la pământ, avântându-se în sus printr-o mișcare bruscă, și a reveni în același loc",verb,5437
mina,"A așeza, a pune explozibile, mine pe uscat sau în apă",verb,5435
scăzut,"(Despre voce, glas) Cu intensitate slabă",adjectiv,5428
piper,"Plantă tropicală din familia piperaceelor, cu tulpina lungă și subțire, târâtoare sau agățătoare, ale cărei fructe, în formă de boabe (negre la maturitate), sunt folosite (ca atare sau pisate) drept condiment",substantiv,5396
evita,"A ocoli, a evita, a ignora intenționat",verb,5374
prizonier,Persoană luată în captivitate în timpul unui război și reținut de dușman pentru a nu mai participa la ostilități,substantiv,5360
deodată,Pe neașteptate,adverb,5360
asigurat,persoană care are o poliță de asigurare,substantiv,5349
secunda,"A sprijini, a ajuta, a însoți, a fi alături de cineva în acțiunile sale",verb,5345
anulat,Care nu va mai avea loc,adjectiv,5345
servi,"A munci pentru altul, a fi la dispoziția unui stăpân.",verb,5333
societate,"Grup extins de oameni cu interese, credințe sau norme de viață comune.",substantiv,5321
risca,"A pune sau a se afla într-o situație periculoasă, dezavantajoasă sau dificilă.",verb,5318
asistent,"Grad în învățământul superior, inferior lectorului",substantiv,5316
ochelari,"Dispozitiv optic medical sau de protecție format din două lentile (fixate într-o ramă), care se pune la ochi (sprijinit pe rădăcina nasului) cu scopul de a corecta un defect de vedere, de a apăra ochii de praf, de o lumină prea puternică etc.",substantiv,5315
civil,"Expresie: Drepturi civile ; drepturi de care se bucură o persoană (fizică sau juridică), reglementate și recunoscute ca atare",substantiv,5295
urmărire,"Urmărire a unui scop, a unui țel, a unui ideal.",substantiv,5289
pasiune,stare emoțională foarte intensă,substantiv,5281
rană,"Ruptură internă sau exterioară a țesutului unei ființe vii, prin tăiere; leziune, plagă",substantiv,5280
îndeajuns,"în cantitate suficientă, atât cât trebuie",adjectiv,5280
adult,(Organism) care și-a terminat creșterea și a ajuns în stadiul de a se reproduce,substantiv,5273
eroare,"Faptă, acțiune etc. care constituie o abatere (conștientă sau involuntară) de la adevăr, de la ceea ce este real, drept, normal, bun (și care poate atrage după sine un rău, o neplăcere",substantiv,5272
tehnologie,știință a metodelor și a mijloacelor de prelucrare a materialelor.,substantiv,5270
frigider,"Dulap de construcție specială echipat cu un agregat frigorigen, care menține o temperatură scăzută produsă cu ajutorul energiei electrice, a gazului metan sau a unui combustibil lichid, destinat rătăcirii și păstrării temporare a alimentelor și a produselor ușor alterabile.",substantiv,5263
maestru,"Persoană competentă, calificată într-un anumit domeniu (de obicei muzică, dans, sport), care adesea instruiește pe cineva în domeniul respectiv.",substantiv,5260
set,"Fiecare dintre părțile în care se împart unele jocuri sportive, determinate de câștigarea unui anumit număr de puncte în favoarea unei echipe sau a unui jucător",substantiv,5252
sabie,Armă tăioasă formată dintr-o lamă lungă de oțel ascuțită la vârf și pe una dintre laturi și fixată într-un mâner.,substantiv,5246
castel,"Clădire mare, medievală, prevăzută cu turnuri și cu creneluri, înconjurată de ziduri și de șanțuri, care servea ca locuință seniorilor feudali",substantiv,5245
alerga,"A se deplasa cu pași repezi, a se mișca iute într-o direcție, a merge în fugă",verb,5238
informat,"Care dovedește informare, pregătire, competență ( într-un anumit domeniu).",adjectiv,5236
septembrie,Numele lunii a noua a anului,substantiv,5235
sete,"Senzație fiziologică pe care o au oamenii, animalele sau păsările când simt nevoia să bea apă din pricina deshidratării țesuturilor organismului.",substantiv,5219
școală,"Instituție de învățământ public, unde se predau elementele de bază ale principalelor discipline",substantiv,5211
