cuvant,definitie,parte_de_vorbire,frecventa
garaj,Clădire sau încăpere (special amenajată) pentru adăpostirea (și întreținerea ori repararea) autovehiculelor.,substantiv,6173
lipsă,Faptul de a nu se afla într-un loc (unde ar fi trebuit să fie în mod obișnuit),substantiv,6172
zid,"Element de construcție așezat vertical (sau puțin înclinat), făcut din zidărie, din lemn, din piatră etc., care limitează, separă sau izolează încăperile unei clădiri între ele sau de exterior și care susține planșeele, etajele și acoperișul",substantiv,6160
terapie,Totalitatea medicamentelor sau a mijloacelor curative în tratarea unui bolnav; tratament medical (Cu medicamente).;,substantiv,6156
înmormântare,"Ceremonia, ritualul așezării în mormânt",substantiv,6140
atrage,"A fi atrăgător pentru cineva; "" Mă tentează ideea de a lăsa totul baltă """,verb,6128
avere,"Cantitate abundentă de bunuri materiale, de materii prime, de bani, de obiecte prețioase etc.",substantiv,6127
adunat,strâns la un loc,adjectiv,6127
fier,"Element chimic, metal greu, de culoare cenușie, maleabil, ductil, cu proprietăți feromagnetice, care, aliat cu carbonul sau cu alte elemente, se folosește pe scară largă în industrie",substantiv,6122
guvern,Persoane numite de primul ministru să conducă portofolii cheie ale unei țări,substantiv,6120
amabil,"Plin de afecțiune, de prietenie, de amabilitate",adjectiv,6098
blestemat,"Lovit, ajuns de blestem",substantiv,6097
oraș,"Formă complexă de așezare omenească cu dimensiuni variabile și dotări industriale, având de obicei funcție administrativă, industrială, comercială, politică și culturală; urbe.;",substantiv,6090
motor,"Mașină de forță care transformă o formă de energie oarecare în energie mecanică (pentru acționarea altei mașini, a unui vehicul etc.)",substantiv,6087
convinge,"a face pe cineva să adopte o părere, să recunoască ceva cu adevărat",verb,6086
sos,Preparat culinar lichid sau vâscos (de obicei condimentat) cu care se pregătesc sau cu care se servesc unele mâncăruri,substantiv,6077
apărea,"A intra pentru scurt timp într-o încăpere, etc",verb,6077
firmă,Personalul unei organizații comerciale sau de afaceri.,substantiv,6076
scări,șir de trepte,substantiv,6065
datorie,Sumă de bani sau orice alt bun datorat cuiva,substantiv,6038
învinge,a reprima folosind forța,verb,6032
inspector,persoană care examinează cu atenție ceva,substantiv,6027
recunoscător,"Care recunoaște un serviciu, un bine ce I s-a făcut, care poartă (cuiva) recunoștință",adjectiv,6025
impresionat,"(Despre oameni) Care este impresionat, emoționat, tulburat",adjectiv,6023
dispozitiv,Ansamblu de piese care îndeplinește o anumită funcție într-un sistem tehnic,substantiv,6021
truc,metodă folosită pentru a masca natura unei acțiuni,substantiv,6020
interes,starea de a fi potrivit,substantiv,6018
spion,"Persoană însărcinată să facă, în taină, cercetări sau să obțină informații în interesul cuiva; militar trimis în recunoaștere; spion",substantiv,6016
construi,"A forma un întreg (o clădire, o mașină etc.) legând în mod trainic și în ordinea cerută părțile lui componente după un plan prestabilit;",verb,6014
hartă,"Reprezentare grafică în plan orizontal a suprafeței pământului (totală sau parțială), generalizată și micșorată conform unei anumite scări de proporție și întocmită pe baza unei proiecții cartografice.",substantiv,6012
indian,Persoană care face parte din populația de bază a Indiei sau este originară de acolo,substantiv,6005
identitate,"Asemănare, similitudine perfectă.",substantiv,5996
discurs,"Expunere, de obicei pe o temă politică, făcută în fața unei adunări",substantiv,5994
același,cu aceeași identitate,adjectiv,5982
floare,Parte a plantei care cuprinde organele de reproducere sexuală și care are de obicei o corolă frumoasă și variat colorată.,substantiv,5972
